Jim	21:31 3/2/2020	94
Tom	21:31 3/2/2020	161
Lana	21:31 3/2/2020	121
Lana	22:41 3/2/2020	156
Jim	22:41 3/2/2020	157
Tom	11:2 3/3/2020	146
Jim	11:6 3/3/2020	176
Mike	11:9 3/3/2020	152
Jim	11:9 3/3/2020	163
Tom	11:9 3/3/2020	86
Lana	11:9 3/3/2020	137
TomH	11:9 3/3/2020	138
d	11:9 3/3/2020	175
tommy	11:17 3/3/2020	145
Mike	15:20 3/3/2020	107
Mike	15:37 3/3/2020	155
Jim	15:37 3/3/2020	97
Jim	15:41 3/3/2020	206
Tom	15:51 3/3/2020	134
Jim	17:15 3/3/2020	134
Lana	17:15 3/3/2020	157
d	19:53 3/3/2020	154
d	19:53 3/3/2020	122
Lana	19:53 3/3/2020	132
Jim	21:35 3/3/2020	95
Mike	21:36 3/3/2020	113
Mike	22:56 3/3/2020	158
Jim	22:56 3/3/2020	111
d	22:58 3/3/2020	130
jimmy	22:58 3/3/2020	136
Jim	23:8 3/3/2020	141
Tom	23:8 3/3/2020	94
Mike	23:8 3/3/2020	160
Mike	23:56 3/3/2020	137
Jim	23:56 3/3/2020	135
Tom	23:56 3/3/2020	130
Lana	23:57 3/3/2020	135
Mike	23:57 3/3/2020	174
Jim	23:57 3/3/2020	151
Tom	23:57 3/3/2020	109
Lana	23:57 3/3/2020	185
Tom	23:57 3/3/2020	98
Lana	23:57 3/3/2020	127
Jim	0:52 3/4/2020	152
Lana	0:52 3/4/2020	106
Lana	0:52 3/4/2020	136
Tom	0:52 3/4/2020	194
Jim	0:52 3/4/2020	123
TomH	0:52 3/4/2020	120
TomH	1:30 3/4/2020	127
Jim	1:30 3/4/2020	95
Jim	1:31 3/4/2020	154
Tom	1:31 3/4/2020	152
Tom	1:31 3/4/2020	130
Lana	1:31 3/4/2020	110
Lana	1:31 3/4/2020	115
TomH	1:31 3/4/2020	146
